iter	Passed	Remaining
0	2	752
1	3	671
2	5	600
3	6	534
4	7	484
5	7	454
6	9	443
7	10	437
8	11	429
9	12	428
10	14	439
11	15	431
12	16	418
13	17	410
14	17	401
15	18	394
16	19	386
17	20	381
18	21	379
19	22	371
20	23	365
21	24	367
22	26	375
23	28	381
24	29	385
25	31	386
26	31	382
27	32	376
28	34	379
29	36	392
30	38	398
31	40	399
32	41	395
33	42	393
34	43	394
35	45	394
36	46	389
37	46	385
38	47	381
39	48	378
40	49	376
41	51	374
42	52	372
43	53	371
44	54	371
45	56	371
46	57	371
47	59	372
48	60	371
49	61	371
50	62	369
51	63	366
52	65	364
53	65	361
54	67	359
55	67	356
56	68	354
57	69	351
58	70	349
59	71	347
60	72	344
61	73	342
62	74	340
63	75	338
64	76	336
65	77	333
66	78	331
67	79	329
68	80	326
69	81	324
70	82	322
71	82	320
72	83	318
73	84	316
74	85	314
75	86	312
76	87	310
77	88	308
78	89	306
79	89	303
80	90	301
81	91	299
82	92	297
83	93	294
84	94	293
85	95	291
86	96	290
87	97	288
88	98	287
89	99	286
90	99	284
91	100	283
92	101	281
93	102	280
94	103	278
95	104	277
96	105	276
97	106	274
98	107	273
99	108	272
100	109	270
101	110	268
102	111	266
103	112	265
104	112	263
105	113	261
106	114	259
107	115	258
108	115	256
109	116	254
110	117	252
111	118	251
112	119	249
113	119	247
114	120	246
115	121	244
116	122	243
117	122	241
118	123	240
119	124	238
120	125	236
121	126	235
122	126	234
123	127	232
124	128	231
125	129	229
126	129	228
127	130	226
128	131	225
129	132	223
130	132	222
131	133	220
132	134	219
133	135	217
134	135	216
135	136	215
136	137	214
137	138	212
138	139	211
139	139	209
140	140	208
141	141	207
142	142	205
143	143	204
144	143	203
145	144	202
146	145	200
147	146	199
148	147	198
149	148	197
150	149	196
151	150	195
152	151	194
153	152	193
154	152	192
155	153	191
156	154	190
157	155	189
158	156	188
159	157	187
160	158	186
161	159	185
162	160	183
163	161	182
164	162	181
165	163	180
166	164	179
167	164	178
168	165	177
169	166	176
170	167	175
171	168	174
172	169	173
173	170	172
174	171	171
175	172	170
176	173	169
177	174	168
178	175	167
179	176	166
180	177	165
181	178	164
182	179	163
183	180	162
184	181	161
185	182	160
186	182	159
187	183	158
188	184	157
189	185	156
190	186	155
191	187	154
192	188	153
193	189	152
194	190	151
195	190	150
196	191	148
197	192	147
198	193	146
199	194	145
200	194	144
201	195	143
202	196	142
203	197	141
204	197	140
205	198	138
206	199	137
207	200	137
208	201	136
209	202	135
210	203	134
211	204	133
212	205	132
213	206	130
214	206	129
215	207	128
216	208	127
217	209	126
218	209	125
219	210	124
220	211	123
221	212	122
222	212	121
223	213	120
224	214	119
225	215	118
226	216	117
227	217	116
228	218	115
229	218	114
230	219	113
231	220	112
232	221	111
233	222	110
234	223	109
235	223	108
236	224	107
237	225	106
238	226	105
239	226	104
240	227	102
241	228	102
242	229	101
243	230	100
244	231	99
245	231	97
246	232	96
247	233	96
248	234	95
249	235	94
250	235	93
251	236	92
252	237	91
253	238	90
254	239	89
255	239	88
256	240	87
257	241	86
258	242	85
259	242	84
260	243	83
261	244	82
262	245	81
263	246	80
264	246	79
265	247	78
266	248	77
267	249	76
268	250	75
269	250	74
270	251	73
271	252	72
272	253	71
273	254	70
274	255	69
275	256	68
276	257	67
277	258	66
278	259	65
279	260	65
280	261	64
281	262	63
282	263	62
283	263	61
284	264	60
285	265	59
286	266	58
287	267	57
288	268	56
289	269	55
290	270	54
291	271	53
292	272	52
293	273	52
294	274	51
295	275	50
296	276	49
297	277	48
298	278	47
299	279	46
300	280	45
301	281	44
302	282	43
303	282	42
304	283	41
305	284	40
306	285	40
307	286	39
308	287	38
309	288	37
310	289	36
311	290	35
312	291	34
313	292	33
314	293	32
315	294	31
316	295	30
317	296	29
318	297	28
319	298	27
320	299	27
321	300	26
322	301	25
323	302	24
324	303	23
325	304	22
326	305	21
327	306	20
328	306	19
329	307	18
330	308	17
331	309	16
332	310	15
333	311	14
334	312	14
335	313	13
336	314	12
337	315	11
338	316	10
339	317	9
340	318	8
341	319	7
342	320	6
343	320	5
344	321	4
345	322	3
346	323	2
347	324	1
348	324	0
349	325	0
